Id,Label
10.1016/j.surneu.2005.11.054,10.1016/j.surneu.2005.11.054
id/06902130079,id/06902130079
id/061302118330,id/061302118330
15936360,15936360
br/061403699666,br/061403699666
10.1016/j.surneu.2008.07.015,10.1016/j.surneu.2008.07.015
br/061302096093,br/061302096093
br/061302095937,br/061302095937
10.1016/j.surneu.2004.10.026,10.1016/j.surneu.2004.10.026
10.1016/j.surneu.2004.06.007,10.1016/j.surneu.2004.06.007
10.1016/j.surneu.2005.12.018,10.1016/j.surneu.2005.12.018
id/06602375220,id/06602375220
